archetype_key,archetype_label_ja,catalog_rg_low_in,catalog_total_diff_in,catalog_intermediate_diff_in,drill_angle_deg,pin_pap_in,val_angle_deg,pap_rg_in,rg_low_in,rg_mid_in,rg_high_in,total_diff_in,int_diff_in,performance_diff_in,effective_flare_diff_in,flare_utilization_pct,removed_mass_oz
symmetric_low,対称・低RG差,2.52,0.03,0,10,1,20,2.5097238363085643,2.508317100191557,2.543555101547603,2.5512368089437083,0.04291970875215112,0.007681707396105519,0.043601720469367486,0.01411611135427461,32.37512465635828,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,10,1,40,2.509724301484469,2.509006719650736,2.5436463843062613,2.550467592438523,0.04146087278778676,0.006821208132261614,0.042018244283985366,0.00992300755224622,23.615949979205173,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,10,1,70,2.5097243005709373,2.5096521530560536,2.5436881751647387,2.5497907791055625,0.04013862604950891,0.0061026039408238475,0.04059989009838418,0.0031183196526579893,7.680611068408025,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,10,2,20,2.514257104066469,2.510106136735873,2.542568754384645,2.550460317018704,0.04035418028283111,0.007891562634058769,0.04111856791166866,0.021865516071368312,53.17674515887821,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,10,2,40,2.514256516941433,2.5116395069247366,2.5429320629913876,2.548587875698957,0.03694836877422025,0.005655812707569208,0.037378739578253245,0.017261584529184335,46.1802209596897,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,10,2,70,2.5142564365640183,2.51314304668631,2.5437014288592916,2.546336898844952,0.03319385215864212,0.0026354699856603325,0.033298311115957616,0.011809923819319494,35.46703548475106,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,10,3,20,2.520718197950335,2.512205095233607,2.5406888146752684,2.550267101333296,0.038062006099688794,0.009578286658027402,0.03924869276340414,0.026684271632128744,67.98766978809907,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,10,3,40,2.520717838470955,2.514662919854909,2.5409303756699284,2.5476027661679077,0.03293984631299862,0.006672390497979297,0.03360884214133973,0.0221600790314549,65.93526470879947,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,10,3,70,2.520717783199833,2.5172391471090783,2.5421277044808592,2.5438613106846524,0.02662216357557412,0.0017336062037931477,0.026678549134359904,0.017225033056819522,64.56510423437912,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,10,3.5,20,2.524246580859488,2.513260520025498,2.539565579295505,2.550346042944524,0.037085522919026115,0.01078046364901919,0.038620647413856686,0.027044499769123202,70.02601349303099,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,10,3.5,40,2.5242466906329097,2.516162940028947,2.539565840020527,2.5474822804789454,0.03131934044999829,0.007916440458418439,0.03230435134396887,0.022527732042085354,69.73590586053113,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,10,3.5,70,2.524247157363936,2.5193423570066553,2.54005578064468,2.5438489068821744,0.024506549875519035,0.003793126237494171,0.024798362717221245,0.017621977755966776,71.06105333207816,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,10,4,20,2.52772484089594,2.5142332328526766,2.53843216465087,2.550515563203403,0.036282330350726255,0.01208339855253282,0.0382415482983964,0.025948557415155525,67.85435885775483,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,10,4,40,2.527723809953472,2.517525260179913,2.538177741202535,2.547519742268306,0.029994482088392616,0.009342001065770766,0.0314156320907883,0.02140961158408305,68.14954899589871,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,10,4,70,2.5277243608369053,2.5213070775528372,2.538084861147523,2.543869564704916,0.02256248715207887,0.005784703557393023,0.023292243810647345,0.016412401421058292,70.4629470414347,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,10,5,20,2.5337874316508326,2.515639359971065,2.536538281576713,2.5510132074162017,0.03537384744513661,0.01447492583948895,0.03822083935669784,0.01997856188417374,52.271384460510774,2.4119385087480647
symmetric_low,対称・低RG差,2.52,0.03,0,10,5,40,2.5337866868261254,2.519250842407954,2.5360783306423156,2.5479047652876563,0.028653922879702254,0.011826434645340722,0.030998578238629587,0.015363694356330832,49.56257747713414,2.4119385087480647
