drill_angle_deg,pin_pap_in,val_angle_deg,angle_sum_deg,source_timing_guide_pct,mass_after_lb,removed_mass_oz,com_shift_in,pap_rg_in,pap_inertia_lb_in2,rg_low_in,rg_mid_in,rg_high_in,total_diff_in,int_diff_in,performance_diff_in,effective_flare_diff_in,flare_utilization_pct,pap_to_pin_deg,pap_to_psa_deg
10,1,20,30,100,14.849253843203247,2.4119385087480647,0.03081472294018186,2.4702966696334845,90.61557637303835,2.467908393037577,2.5141180718240834,2.525902873521957,0.05799448048437972,0.011784801697873437,0.05917973739136817,0.021961649709644062,37.110083075237405,13.332351253771314,76.87384633023575
10,1,30,40,92.3076923076923,14.849253843203247,2.4119385087480647,0.03081695151802731,2.4702976978595452,90.61565180795894,2.468354073219385,2.5126797150054188,2.5268983727652827,0.05854429954589779,0.014218657759863973,0.060246205173537265,0.01962460090265547,32.57400336855647,13.332351253771314,76.87384633023575
10,1,40,50,84.61538461538461,14.849253843203247,2.4119385087480647,0.030814934301829723,2.470297417757157,90.61563125848501,2.468783506353819,2.5111452642495133,2.528004010381419,0.05922050402759993,0.016858746131905633,0.06157341486731934,0.017274819719628687,28.055646672923864,13.332351253771314,76.87384633023575
10,1,50,60,76.92307692307693,14.849253843203247,2.4119385087480647,0.030812462374929198,2.470296356472845,90.61555339828362,2.4691735589200268,2.5097212920023204,2.5290369892489135,0.059863430328886746,0.0193156972465931,0.06290251545736086,0.01499833071899406,23.84376937860432,13.332351253771314,76.87384633023575
10,1,60,70,69.23076923076923,14.849253843203247,2.4119385087480647,0.03081381853848328,2.4702971876821525,90.61561437922937,2.469500469069004,2.50853597115129,2.5298936080685652,0.06039313899956111,0.021357636917275435,0.06405841000922889,0.012922826350994948,20.173504695375918,13.332351253771314,76.87384633023575
10,1,70,80,61.53846153846154,14.849253843203247,2.4119385087480647,0.030814921584260815,2.4702965320900634,90.61556628228594,2.4697365090563808,2.507678181127148,2.530513492003621,0.06077698294724021,0.02283531087647317,0.06492528843982368,0.011232390698633448,17.30048640298956,13.332351253771314,76.87384633023575
10,1.5,20,30,100,14.849253843203247,2.4119385087480647,0.03081340358194279,2.4736575479498275,90.86231199849973,2.4688145195731686,2.5141198558759164,2.525015489619532,0.05620097004636326,0.010895633743615463,0.05724739180807482,0.030902787820094497,53.98112795024422,19.998526880657007,70.31794977126457
10,1.5,30,40,92.3076923076923,14.849253843203247,2.4119385087480647,0.030815849102446745,2.4736578149360593,90.86233161236069,2.4694947049653915,2.5127784771203436,2.5256854377021813,0.05619073273678987,0.012906960581837712,0.057654037820073466,0.02855439344293785,49.52713551833144,19.998526880657007,70.31794977126457
10,1.5,40,50,84.61538461538461,14.849253843203247,2.4119385087480647,0.030814022264117415,2.473657569217096,90.86231356087701,2.470152870272913,2.5112493723427947,2.5265625493381756,0.05640967906526262,0.015313176995380928,0.05845122138961504,0.02628365240225421,44.966814683061514,19.998526880657007,70.31794977126457
10,1.5,50,60,76.92307692307693,14.849253843203247,2.4119385087480647,0.030815373566896027,2.4736578134780376,90.86233150524866,2.470752187345599,2.5097845024306733,2.5274319262551113,0.05667973890951217,0.017647423824437958,0.05936349358393429,0.02419151706636327,40.75150501740398,19.998526880657007,70.31794977126457
10,1.5,60,70,69.23076923076923,14.849253843203247,2.4119385087480647,0.030812777626824106,2.4736575411677566,90.86231150026211,2.471250296873042,2.5085430832982403,2.528177337762385,0.05692704088934297,0.019634254464144796,0.060217870543383685,0.022401122197214306,37.20012347676015,19.998526880657007,70.31794977126457
10,1.5,70,80,61.53846153846154,14.849253843203247,2.4119385087480647,0.030817777304484255,2.4736581285491064,90.862354651614,2.471606861159675,2.5076379296811635,2.528726557570195,0.05711969641052006,0.021088627889031653,0.06088833996975136,0.021043073165934945,34.56010325850386,19.998526880657007,70.31794977126457
10,2,20,30,100,14.849253843203247,2.4119385087480647,0.030812314566163894,2.4780992609273578,91.1889106821379,2.469828329959485,2.513970100724638,2.5241730313110966,0.0543447013516114,0.010202930586458603,0.05529418014174662,0.038728611786001135,70.04102725950607,26.664702507542657,63.77158741992102
10,2,30,40,92.3076923076923,14.849253843203247,2.4119385087480647,0.03081482556508311,2.4780994496076594,91.18892456822557,2.470750133727263,2.512783380141701,2.5244524734058977,0.053702339678634914,0.01166909326419674,0.05495551859975491,0.03640378456253954,66.24227282371946,26.664702507542657,63.77158741992102
10,2,40,50,84.61538461538461,14.849253843203247,2.4119385087480647,0.030812981963193816,2.478099228284532,91.1889082797614,2.471650526380441,2.511299798433825,2.5250473370569906,0.053396810676549666,0.013747538623165578,0.055138137514996986,0.034194424660406016,62.015922556516344,26.664702507542657,63.77158741992102
10,2,50,60,76.92307692307693,14.849253843203247,2.4119385087480647,0.03081433426833011,2.478099527460287,91.18893029785639,2.4724755259832967,2.509813698021349,2.5257170990649813,0.053241573081684646,0.015903401043632304,0.05556602621176875,0.0321990885097713,57.94743785898372,26.664702507542657,63.77158741992102
10,2,60,70,69.23076923076923,14.849253843203247,2.4119385087480647,0.03081556769219063,2.4780997422278204,91.18894610385794,2.473163310646266,2.508524139810088,2.5263247251101517,0.05316141446388567,0.017800585300063787,0.05606243684345054,0.0305260099295979,54.45002331033009,26.664702507542657,63.77158741992102
10,2,70,80,61.53846153846154,14.849253843203247,2.4119385087480647,0.030813117527363078,2.4780995183826797,91.18892962978211,2.4736487347969587,2.5075793426515265,2.5267874499025904,0.05313871510563173,0.01920810725106392,0.056503755868489554,0.02928695994013851,51.83188177490864,26.664702507542657,63.77158741992102
10,2.5,20,30,100,14.849253843203247,2.4119385087480647,0.030814660606564893,2.4833777551894682,91.57779969116537,2.470905719483224,2.5136141900693327,2.5234729003012073,0.052567180817983505,0.009858710231874568,0.053483667288123024,0.04459520534000232,83.38097890663055,33.330878134428325,57.239714421802795
10,2.5,30,40,92.3076923076923,14.849253843203247,2.4119385087480647,0.030817631940182357,2.4833787437765165,91.57787260205822,2.472065900993252,2.5126371213269607,2.5233096046786234,0.051243703685371234,0.01067248335166271,0.052343281023314224,0.04228880456020525,80.79127584946268,33.330878134428325,57.239714421802795
10,2.5,40,50,84.61538461538461,14.849253843203247,2.4119385087480647,0.030815792788448444,2.4833784262492107,91.57784918358179,2.473212929156104,2.511254375773434,2.5235621603811365,0.050349231225032653,0.012307784607702654,0.051831714682242624,0.04011167299426834,77.38828097849996,33.330878134428325,57.239714421802795
10,2.5,50,60,76.92307692307693,14.849253843203247,2.4119385087480647,0.030817289292563287,2.4833787305276007,91.57787162491566,2.474273774434423,2.509780566501824,2.523988376118467,0.04971460168404418,0.014207809616643363,0.051704965667776555,0.03816076861552968,73.80484277027989,33.330878134428325,57.239714421802795
10,2.5,60,70,69.23076923076923,14.849253843203247,2.4119385087480647,0.030814729873026175,2.4833776046858866,91.57778859113323,2.475161555292172,2.508460299243052,2.5244304394129786,0.04926888412080643,0.015970140169926594,0.051792550811449276,0.03653884079406018,70.54844803276787,33.330878134428325,57.239714421802795
10,2.5,70,80,61.53846153846154,14.849253843203247,2.4119385087480647,0.030815951552575906,2.4833779987970632,91.57781765786302,2.4757862886215496,2.507483453047185,2.5247882438517335,0.04900195523018391,0.01730479080454872,0.051967753474343514,0.035340884542753186,68.00541139458912,33.330878134428325,57.239714421802795
10,3,20,30,100,14.849253843203247,2.4119385087480647,0.03081730240801923,2.4892045659101107,92.00804636706873,2.4719954457564963,2.5130058855808275,2.5230113870539403,0.05101594129744402,0.010005501473112854,0.051987847870369835,0.04805705415124566,92.43901434634206,39.997053761314,50.72942095594871
